KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/amdi0030/0,2021-10-02 05:52:14,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},"acpi\amdi0030,amdi0030",{27db0821-3bf9-f71a-f96f-a53403857690},AMD GPIO Controller,0000b7ae4b7fa5e17541955b178c7bc7887fa5f211f8,amdgpio2.inf_amd64_c72fc3523c1372d0,amdgpio2.sys,03-11-2020,2.2.0.130,acpi,"acpi\ven_amdi&dev_0030,acpi\amdi0030,*amdi0030",oem4.inf,0,"Advanced Micro Devices, Inc",acpi\amdi0030,AMD GPIO Controller,acpi_hal\pnp0c08\0,0,"Advanced Micro Devices, Inc",amdgpio2,"\driver\amdgpio2,\driver\acpi"
acpi/amdif030/0,2021-10-02 05:52:14,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},"acpi\amdif030,amdif030",{27db0821-3bf9-f71a-f96f-a53403857690},AMD GPIO Controller,00000fc5f8864d2e9f6ae7d7ac9ac5cd04824acf5d84,amdgpio3.inf_amd64_bb3599d0d57c5b6a,amdgpio3.sys,03-09-2020,2.0.1.0,acpi,"acpi\ven_amdi&dev_f030,acpi\amdif030,*amdif030",oem33.inf,0,"Advanced Micro Devices, Inc.",acpi\amdif030,AMD GPIO Controller,acpi_hal\pnp0c08\0,0,"Advanced Micro Devices, Inc.",amdgpio3,"\driver\amdgpio3,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_8_-_amd_ryzen_5_2600_six-core_processor____________/_1,2021-10-02 05:52:14,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 5 2600 Six-Core Processor            ",0000cfe5416e0c838e17fe19fa467a1d389326ad510a,cpu.inf_amd64_0abeab1ee6572232,amdppm.sys,04-21-2009,10.0.19041.546,acpi,"acpi\authenticamd_-_amd64_family_23_model_8,*authenticamd_-_amd64_family_23_model_8,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_8_-_amd_ryzen_5_2600_six-core_processor____________/_2,2021-10-02 05:52:14,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 5 2600 Six-Core Processor            ",0000cfe5416e0c838e17fe19fa467a1d389326ad510a,cpu.inf_amd64_0abeab1ee6572232,amdppm.sys,04-21-2009,10.0.19041.546,acpi,"acpi\authenticamd_-_amd64_family_23_model_8,*authenticamd_-_amd64_family_23_model_8,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_8_-_amd_ryzen_5_2600_six-core_processor____________/_3,2021-10-02 05:52:14,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 5 2600 Six-Core Processor            ",0000cfe5416e0c838e17fe19fa467a1d389326ad510a,cpu.inf_amd64_0abeab1ee6572232,amdppm.sys,04-21-2009,10.0.19041.546,acpi,"acpi\authenticamd_-_amd64_family_23_model_8,*authenticamd_-_amd64_family_23_model_8,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_8_-_amd_ryzen_5_2600_six-core_processor____________/_4,2021-10-02 05:52:14,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 5 2600 Six-Core Processor            ",0000cfe5416e0c838e17fe19fa467a1d389326ad510a,cpu.inf_amd64_0abeab1ee6572232,amdppm.sys,04-21-2009,10.0.19041.546,acpi,"acpi\authenticamd_-_amd64_family_23_model_8,*authenticamd_-_amd64_family_23_model_8,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_8_-_amd_ryzen_5_2600_six-core_processor____________/_5,2021-10-02 05:52:14,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 5 2600 Six-Core Processor            ",0000cfe5416e0c838e17fe19fa467a1d389326ad510a,cpu.inf_amd64_0abeab1ee6572232,amdppm.sys,04-21-2009,10.0.19041.546,acpi,"acpi\authenticamd_-_amd64_family_23_model_8,*authenticamd_-_amd64_family_23_model_8,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_8_-_amd_ryzen_5_2600_six-core_processor____________/_6,2021-10-02 05:52:14,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 5 2600 Six-Core Processor            ",0000cfe5416e0c838e17fe19fa467a1d389326ad510a,cpu.inf_amd64_0abeab1ee6572232,amdppm.sys,04-21-2009,10.0.19041.546,acpi,"acpi\authenticamd_-_amd64_family_23_model_8,*authenticamd_-_amd64_family_23_model_8,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_8_-_amd_ryzen_5_2600_six-core_processor____________/_7,2021-10-02 05:52:14,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 5 2600 Six-Core Processor            ",0000cfe5416e0c838e17fe19fa467a1d389326ad510a,cpu.inf_amd64_0abeab1ee6572232,amdppm.sys,04-21-2009,10.0.19041.546,acpi,"acpi\authenticamd_-_amd64_family_23_model_8,*authenticamd_-_amd64_family_23_model_8,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_8_-_amd_ryzen_5_2600_six-core_processor____________/_8,2021-10-02 05:52:14,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen 5 2600 Six-Core Processor            ",0000cfe5416e0c838e17fe19fa467a1d389326ad510a,cpu.inf_amd64_0abeab1ee6572232,amdppm.sys,04-21-2009,10.0.19041.546,acpi,"acpi\authenticamd_-_amd64_family_23_model_8,*authenticamd_-_amd64_family_23_model_8,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
