KeyName,LnkName,KeyLastWriteTimestamp
.lnk|f7abc003ad5fe4ea,C:\Program Files\Common Files\microsoft shared\ClickToRun\.LNK,2021-06-02 08:38:23
19-07-2021_13-43|d57ea475d205239a,c:\users\klim\Desktop\Forensic\Recent\19-07-2021_13-43-21.zip.lnk,2021-09-13 10:09:12
1untitled.png.ln|497d5eeb0a5e59e9,c:\users\klim\Desktop\Forensic\Recent\1Untitled.png.lnk,2021-09-13 10:09:13
2021-07-07 20-46|adc39af77b520c31,c:\users\klim\Desktop\Forensic\Recent\2021-07-07 20-46-23.mkv.lnk,2021-09-13 10:09:13
2021-07-07 21-06|ded3b000ca31d077,c:\users\klim\Desktop\Forensic\Recent\2021-07-07 21-06-25.mkv.lnk,2021-09-13 10:09:13
2021-07-07 21-09|3f9ba8e301ab7341,c:\users\klim\Desktop\Forensic\Recent\2021-07-07 21-09-14.mkv.lnk,2021-09-13 10:09:13
2021-07-07 21-12|ca58cbac670a71b3,c:\users\klim\Desktop\Forensic\Recent\2021-07-07 21-12-22.mkv.lnk,2021-09-13 10:09:13
2021-07-07 21-58|d8316a082aaed1e1,c:\users\klim\Desktop\Forensic\Recent\2021-07-07 21-58-11.mkv.lnk,2021-09-13 10:09:13
2021-07-07 22-41|575ec1c6f925e9d,c:\users\klim\Desktop\Forensic\Recent\2021-07-07 22-41-27.mkv.lnk,2021-09-13 10:09:13
2021-07-07 22-45|3d7a8e16edf1328f,c:\users\klim\Desktop\Forensic\Recent\2021-07-07 22-45-10.mkv.lnk,2021-09-13 10:09:13
2281-неправильно|53765a3f6ebf5ce3,c:\users\klim\Desktop\Forensic\Recent\2281-неправильно-попробуи-еще-раз.mp3.lnk,2021-09-13 10:09:13
7-zip file manag|1cfcc57bd05e0f1c,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\7-Zip\7-Zip File Manager.lnk,2021-06-15 14:56:37
7-zip help.lnk|b530b9ae32462b97,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\7-Zip\7-Zip Help.lnk,2021-06-15 14:56:37
administrative t|71f7e436c54edf53,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Administrative Tools.lnk,2021-05-26 08:54:49
analysis service|4d8088540f2cdd61,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft SQL Server Tools 18\Analysis Services Deployment Wizard 18.lnk,2021-05-26 08:54:46
application veri|1a39ed8c5e84e9c,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Application Verifier (X64)\Application Verifier Help.lnk,2021-05-26 08:54:46
application veri|2ed8038780f7a245,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Application Verifier (X86)\Application Verifier (WOW).lnk,2021-05-26 08:54:46
application veri|fba04ebff0499ec3,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Application Verifier (X64)\Application Verifier (X64).lnk,2021-05-26 08:54:46
assistant 6.1.2 |431ab67a6c958502,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Qt\6.1.2\MinGW 8.1.0 (64-bit)\Assistant 6.1.2 (MinGW 8.1.0 64-bit).lnk,2021-08-22 16:34:13
azure data studi|1ff163603291a02b,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Azure Data Studio\Azure Data Studio.lnk,2021-05-26 08:54:42
battlestate game|28180f29db7c40ec,C:\Users\Public\Desktop\Battlestate Games Launcher.lnk,2021-07-11 06:01:47
battlestate game|789ca880b8937812,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Battlestate Games\Battlestate Games Launcher.lnk,2021-07-11 06:01:47
blend for visual|c9b69b8ebc613f8d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Blend for Visual Studio 2019.lnk,2021-05-26 08:54:44
boost_1_77_0.zip|f556d12765490f16,c:\users\klim\Desktop\Forensic\Recent\boost_1_77_0.zip.lnk,2021-09-13 10:09:13
buroveliseiandre|885bcb948a936fa0,c:\users\klim\Desktop\Forensic\Recent\BurovEliseiAndreevich_19072021140000_ru.pdf.lnk,2021-09-13 10:09:13
ccleaner.lnk|3ac6ba1b17230f9f,C:\Users\Public\Desktop\CCleaner.lnk,2021-05-26 08:54:47
ccleaner.lnk|ed63b07b23a35be5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\CCleaner\CCleaner.lnk,2021-05-26 08:54:46
character map.ln|a9bafb4ca6647e44,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk,2021-05-26 08:54:41
cmake (cmake-gui|e0b64d051579dcd9,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\CMake\CMake (cmake-gui).lnk,2021-08-22 16:34:11
cmake documentat|bd8370f6ee0a6c09,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\CMake\CMake Documentation.lnk,2021-08-22 16:34:11
command prompt.l|42f692879fe2db61,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Command Prompt.lnk,2021-05-26 08:54:49
component servic|359825efd3d8f6e7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk,2021-05-26 08:54:41
computer managem|234510a6c0bf02bf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk,2021-05-26 08:54:41
computer.lnk|370f86de193f0b50,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\computer.lnk,2021-05-26 08:54:49
control panel.ln|689270c5776d92ec,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Control Panel.lnk,2021-05-26 08:54:49
cpuid hwmonitor.|65fe4fa2e83400a3,C:\Users\Public\Desktop\CPUID HWMonitor.lnk,2021-07-01 14:24:33
cracking sands r|ad82c4a40882c46e,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Приложения Chrome\Cracking Sands Racing.lnk,2021-05-26 08:54:49
cut the rope.lnk|83cc487f14ceb912,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Приложения Chrome\Cut the Rope.lnk,2021-05-26 08:54:49
database engine |83d32ca5d4ebfeca,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft SQL Server Tools 18\Performance Tools\Database Engine Tuning Advisor 18.lnk,2021-05-26 08:54:46
debuggable packa|228c48ea07ac51be,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Debuggable Package Manager.lnk,2021-05-26 08:54:46
debugging help.l|9d1bbb7c04c97732,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Debugging Tools for Windows (X64)\Debugging Help.lnk,2021-08-22 16:34:12
debugging help.l|bb1b77a2bb794eb1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Debugging Tools for Windows (X86)\Debugging Help.lnk,2021-08-22 16:34:12
designer 6.1.2 (|9211e84bf960c2f,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Qt\6.1.2\MinGW 8.1.0 (64-bit)\Designer 6.1.2 (MinGW 8.1.0 64-bit).lnk,2021-08-22 16:34:13
desktop.lnk|fc8027eb1ab86042,c:\users\klim\Desktop\Forensic\Recent\Desktop.lnk,2021-09-13 10:09:13
developer comman|2fc8adbdd2ebc800,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Developer Command Prompt for VS 2019.lnk,2021-05-26 08:54:46
developer powers|4c7d0534bc5a2af3,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Developer PowerShell for VS 2019.lnk,2021-05-26 08:54:46
dfrgui.lnk|6d94f7be43a3a3a6,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\dfrgui.lnk,2021-05-26 08:54:41
discord.lnk|649c1d0bdbd90c98,c:\users\klim\Desktop\Discord.lnk,2021-05-26 08:54:49
discord.lnk|a30106414c795878,c:\users\klim\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Discord Inc\Discord.lnk,2021-05-26 08:54:49
disk cleanup.lnk|62909f750f89c6e5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Disk Cleanup.lnk,2021-05-26 08:54:41
documentation fo|1928444bd39b1fd8,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Documentation for Windows Store Apps.lnk,2021-05-26 08:54:47
documentation fo|ae6744a3d9e98e18,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Documentation for Desktop Apps.lnk,2021-05-26 08:54:47
documentation.ln|f5c6a4916a5b0e69,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Azure\Microsoft Azure SDK for .NET\v2.9\Documentation.lnk,2021-05-26 08:54:46
downloads (2).ln|2ee275c9288a5f27,c:\users\klim\Desktop\Forensic\Recent\Downloads (2).lnk,2021-09-13 10:09:13
downloads (3).ln|8102333442728465,c:\users\klim\Desktop\Forensic\Recent\Downloads (3).lnk,2021-09-13 10:09:13
downloads (4).ln|d22adc88afc4f7,c:\users\klim\Desktop\Forensic\Recent\Downloads (4).lnk,2021-09-13 10:09:13
downloads (5).ln|e400644514394793,c:\users\klim\Desktop\Forensic\Recent\Downloads (5).lnk,2021-09-13 10:09:13
downloads (6).ln|4bf1b379b2baff7e,c:\users\klim\Desktop\Forensic\Recent\Downloads (6).lnk,2021-09-13 10:09:13
downloads.lnk|3a4e739c6c770e3,c:\users\klim\Desktop\Forensic\Recent\Downloads.lnk,2021-09-13 10:09:13
dr.web help (eng|fa86d170b1cd134e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Dr.Web\Dr.Web Help (English).lnk,2021-09-20 16:49:51
dr.web scanner.l|24e08223a0cf85e,C:\Users\Public\Desktop\Dr.Web Scanner.lnk,2021-09-20 16:49:51
dr.web scanner.l|bc4cc1f0c7ff49bf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Dr.Web\Dr.Web Scanner.lnk,2021-09-20 16:49:51
