ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Windows\system32\makecab.exe,2019-12-07 09:08:46,NA,False,Live Registry
1,1,C:\Windows\system32\ROUTE.EXE,2019-12-07 09:09:34,NA,False,Live Registry
1,2,C:\Windows\system32\ipconfig.exe,2019-12-07 09:09:33,NA,False,Live Registry
1,3,C:\Windows\system32\netsh.exe,2019-12-07 09:09:33,NA,False,Live Registry
1,4,C:\Windows\System32\msdt.exe,2019-12-07 09:09:47,NA,False,Live Registry
1,5,C:\Program Files\Common Files\Doctor Web\Updater\drwupsrv.exe,2021-09-19 07:07:40,NA,False,Live Registry
1,6,C:\Program Files\Windows Defender\mpcmdrun.exe,2019-12-07 09:08:16,NA,False,Live Registry
1,7,C:\Program Files\DrWeb\SpiderAgent_Adm.exe,2021-09-19 07:08:11,NA,False,Live Registry
1,8,C:\Program Files\DrWeb\frwl_svc.exe,2021-09-19 07:08:32,NA,False,Live Registry
1,9,C:\Program Files\Common Files\Doctor Web\Scanning Engine\dwwatcher.exe,2021-09-19 07:08:06,NA,False,Live Registry
1,10,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.349.1011.0.exe,2021-09-19 07:08:33,NA,False,Live Registry
1,11,C:\Program Files\DrWeb\dwscanner.exe,2021-09-19 07:08:29,NA,False,Live Registry
1,12,C:\Program Files\DrWeb\dwnetfilter.exe,2021-09-19 07:08:28,NA,False,Live Registry
1,13,C:\Program Files\Common Files\Doctor Web\Scanning Engine\dwarkdaemon.exe,2021-09-19 07:08:06,NA,False,Live Registry
1,14,C:\Program Files\Common Files\Doctor Web\Scanning Engine\dwantispam.exe,2021-09-19 07:07:41,NA,False,Live Registry
1,15,C:\Program Files\DrWeb\spideragent.exe,2021-09-19 07:08:11,NA,False,Live Registry
1,16,C:\Program Files\DrWeb\dwservice.exe,2021-09-19 07:08:07,NA,False,Live Registry
1,17,C:\Program Files\Common Files\Doctor Web\Scanning Engine\dwengine.exe,2021-09-19 07:08:06,NA,False,Live Registry
1,18,C:\Users\Klim\AppData\Local\Temp\5ECF4C88-608EC15E-7BE900DC-39329730\drwupsrv.exe,2021-09-19 07:07:38,NA,False,Live Registry
1,19,C:\Users\Klim\AppData\Local\Temp\5ECF4C88-608EC15E-7BE900DC-39329730\win-space-setup.exe,2021-09-19 07:06:00,NA,False,Live Registry
1,20,D:\Malwarebytes\Anti-Malware\MBAMWsc.exe,2021-06-28 16:37:41,NA,False,Live Registry
1,21,C:\Users\Klim\AppData\Local\Temp\MBAMInstallerService.exe,2021-08-07 14:57:06,NA,False,Live Registry
1,22,D:\Malwarebytes\Anti-Malware\mbuns.exe,2021-08-01 13:52:46,NA,False,Live Registry
1,23,C:\Windows\SysWOW64\WerFault.exe,2021-07-09 13:59:03,NA,False,Live Registry
1,24,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Password Manager 9.0.2\transport_proxy.exe,2021-04-28 18:22:14,NA,False,Live Registry
1,25,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Password Manager 9.0.2\x64\kaspersky_plugins.exe,2021-04-28 18:22:14,NA,False,Live Registry
1,26,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Password Manager 9.0.2\plugin-nm-server-v2.exe,2021-04-28 18:22:14,NA,False,Live Registry
1,27,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Password Manager 9.0.2\plugin-nm-server.exe,2021-04-28 18:22:16,NA,False,Live Registry
1,28,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Password Manager 9.0.2\kaspersky_plugins.exe,2021-04-28 18:22:14,NA,False,Live Registry
1,29,C:\Windows\system32\srtasks.exe,2020-12-11 20:37:51,NA,False,Live Registry
1,30,C:\Windows\system32\DrvInst.exe,2021-09-17 13:51:51,NA,False,Live Registry
1,31,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Security Cloud 21.3\plugins-setup.exe,2021-05-25 11:09:56,NA,False,Live Registry
1,32,C:\Windows\system32\MsiExec.exe,2019-12-07 09:10:02,NA,False,Live Registry
1,33,C:\Windows\system32\wscui.cpl,2021-07-09 13:59:12,NA,False,Live Registry
1,34,C:\Windows\system32\irprops.cpl,2019-12-07 09:09:51,NA,False,Live Registry
1,35,C:\Users\Klim\AppData\Local\Temp\4F81C6A0-626B46D4-68842984-90F95E5E\win-space-setup.exe,2021-09-19 07:00:48,NA,False,Live Registry
1,36,D:\Downloads\drweb-12.0-ss-win.exe,2021-09-19 07:00:38,NA,False,Live Registry
1,37,D:\Process Explorer\procexp64a.exe,2021-09-19 06:38:21,NA,False,Live Registry
1,38,D:\Process Explorer\procexp64.exe,2021-09-19 06:38:20,NA,False,Live Registry
1,39,D:\Process Explorer\procexp.exe,2021-09-19 06:38:20,NA,False,Live Registry
