SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\12dc1ea8e34b5a6.automaticDestinations-ms,6/10/2021 15:27,8/7/2021 15:56,10/3/2021 16:52,12dc1ea8e34b5a6,Microsoft Paint 6.1,4,5,0,5,,8/7/2021 15:56,,,C:\Users\Klim\Desktop\1Untitled.png,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\Desktop\1Untitled.png,,My Computer\C:\Users\Klim\Desktop\1Untitled.png,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\12dc1ea8e34b5a6.automaticDestinations-ms,6/10/2021 15:27,8/7/2021 15:56,10/3/2021 16:52,12dc1ea8e34b5a6,Microsoft Paint 6.1,4,5,1,4,,8/7/2021 15:54,,,C:\Users\Klim\Desktop\Untitled.png,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\Desktop\Untitled.png,,My Computer\C:\Users\Klim\Desktop\Untitled.png,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\3c7afee4ac1020b.automaticDestinations-ms,9/7/2021 9:03,9/7/2021 17:27,10/3/2021 16:52,3c7afee4ac1020b,Unknown AppId,4,3,0,3,,9/7/2021 17:27,,,D:\For VirtualBox\Windows Victim.ova,1,FALSE,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\For VirtualBox\Windows Victim.ova,,My Computer\D:\For VirtualBox\Windows Victim.ova,0x0,,,,,PropertyStoreDataBlock,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\3c7afee4ac1020b.automaticDestinations-ms,9/7/2021 9:03,9/7/2021 17:27,10/3/2021 16:52,3c7afee4ac1020b,Unknown AppId,4,3,1,2,9/4/2021 16:01,9/7/2021 9:17,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,D:\Downloads\Oracle_VM_VirtualBox_Extension_Pack-6.1.26.vbox-extpack,1,FALSE,67d1c31e-0d99-11ec-b8b1-00d8612e9183,67d1c31e-0d99-11ec-b8b1-00d8612e9183,a3e2821e-fd5c-43e4-aa05-905e3820ed18,a3e2821e-fd5c-43e4-aa05-905e3820ed18,9/7/2021 9:17,9/7/2021 9:17,9/7/2021 9:17,11134336,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\Oracle_VM_VirtualBox_Extension_Pack-6.1.26.vbox-extpack,,My Computer\D:\Downloads\Oracle_VM_VirtualBox_Extension_Pack-6.1.26.vbox-extpack,0x69A21,0x2,desktop-91gu178,00:d8:61:2e:91:83,9/4/2021 16:01,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\3c7afee4ac1020b.automaticDestinations-ms,9/7/2021 9:03,9/7/2021 17:27,10/3/2021 16:52,3c7afee4ac1020b,Unknown AppId,4,3,2,1,9/4/2021 16:01,9/7/2021 9:03,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,D:\Downloads\kali-linux-2021.2-virtualbox-amd64.ova,1,FALSE,67d1c2cc-0d99-11ec-b8b1-00d8612e9183,67d1c2cc-0d99-11ec-b8b1-00d8612e9183,a3e2821e-fd5c-43e4-aa05-905e3820ed18,a3e2821e-fd5c-43e4-aa05-905e3820ed18,9/7/2021 8:26,9/7/2021 8:46,9/7/2021 8:46,3990536704,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\kali-linux-2021.2-virtualbox-amd64.ova,,My Computer\D:\Downloads\kali-linux-2021.2-virtualbox-amd64.ova,0x699CB,0x3,desktop-91gu178,00:d8:61:2e:91:83,9/4/2021 16:01,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\4cb9c5750d51c07f.automaticDestinations-ms,7/7/2021 17:03,7/7/2021 18:45,10/3/2021 16:52,4cb9c5750d51c07f,Microsoft Movies & TV (Build 10.19031.11411.0),4,7,0,7,7/7/2021 11:23,7/7/2021 18:45,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,D:\Streams\2021-07-07 22-45-10.mkv,1,FALSE,c7f7b3b0-df15-11eb-b8aa-00d8612e9183,c7f7b3b0-df15-11eb-b8aa-00d8612e9183,a3e2821e-fd5c-43e4-aa05-905e3820ed18,a3e2821e-fd5c-43e4-aa05-905e3820ed18,7/7/2021 18:45,7/7/2021 18:45,7/7/2021 18:45,6070923,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Streams\2021-07-07 22-45-10.mkv,,My Computer\D:\Streams\2021-07-07 22-45-10.mkv,0x394EF,0x2,desktop-91gu178,00:d8:61:2e:91:83,7/7/2021 11:23,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\4cb9c5750d51c07f.automaticDestinations-ms,7/7/2021 17:03,7/7/2021 18:45,10/3/2021 16:52,4cb9c5750d51c07f,Microsoft Movies & TV (Build 10.19031.11411.0),4,7,1,6,7/7/2021 11:23,7/7/2021 18:44,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,D:\Streams\2021-07-07 22-41-27.mkv,1,FALSE,c7f7b3a3-df15-11eb-b8aa-00d8612e9183,c7f7b3a3-df15-11eb-b8aa-00d8612e9183,a3e2821e-fd5c-43e4-aa05-905e3820ed18,a3e2821e-fd5c-43e4-aa05-905e3820ed18,7/7/2021 18:41,7/7/2021 18:43,7/7/2021 18:44,115523237,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\Streams\2021-07-07 22-41-27.mkv,,My Computer\D:\Streams\2021-07-07 22-41-27.mkv,0x394ED,0x44,desktop-91gu178,00:d8:61:2e:91:83,7/7/2021 11:23,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\4cb9c5750d51c07f.automaticDestinations-ms,7/7/2021 17:03,7/7/2021 18:45,10/3/2021 16:52,4cb9c5750d51c07f,Microsoft Movies & TV (Build 10.19031.11411.0),4,7,2,5,7/7/2021 11:23,7/7/2021 18:44,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,C:\Users\Klim\Videos\2021-07-07 21-58-11.mkv,2,FALSE,c7f7b283-df15-11eb-b8aa-00d8612e9183,c7f7b283-df15-11eb-b8aa-00d8612e9183,d5321a3e-bf64-4c58-affa-6bd383a99b56,d5321a3e-bf64-4c58-affa-6bd383a99b56,7/7/2021 17:58,7/7/2021 17:58,7/7/2021 17:59,9990429,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\Videos\2021-07-07 21-58-11.mkv,,My Computer\C:\Users\Klim\Videos\2021-07-07 21-58-11.mkv,0x1F7F,0x9B,desktop-91gu178,00:d8:61:2e:91:83,7/7/2021 11:23,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\4cb9c5750d51c07f.automaticDestinations-ms,7/7/2021 17:03,7/7/2021 18:45,10/3/2021 16:52,4cb9c5750d51c07f,Microsoft Movies & TV (Build 10.19031.11411.0),4,7,3,4,7/7/2021 11:23,7/7/2021 17:15,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,C:\Users\Klim\Videos\2021-07-07 21-12-22.mkv,1,FALSE,c7f7b1b2-df15-11eb-b8aa-00d8612e9183,c7f7b1b2-df15-11eb-b8aa-00d8612e9183,d5321a3e-bf64-4c58-affa-6bd383a99b56,d5321a3e-bf64-4c58-affa-6bd383a99b56,7/7/2021 17:12,7/7/2021 17:12,7/7/2021 17:15,8143037,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\Videos\2021-07-07 21-12-22.mkv,,My Computer\C:\Users\Klim\Videos\2021-07-07 21-12-22.mkv,0x11EC1,0x22,desktop-91gu178,00:d8:61:2e:91:83,7/7/2021 11:23,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\4cb9c5750d51c07f.automaticDestinations-ms,7/7/2021 17:03,7/7/2021 18:45,10/3/2021 16:52,4cb9c5750d51c07f,Microsoft Movies & TV (Build 10.19031.11411.0),4,7,4,3,7/7/2021 11:23,7/7/2021 17:09,敤歳潴⵰ㄹ畧㜱8,00:d8:61:2e:91:83,C:\Users\Klim\Videos\2021-07-07 21-09-14.mkv,1,FALSE,c7f7b166-df15-11eb-b8aa-00d8612e9183,c7f7b166-df15-11eb-b8aa-00d8612e9183,d5321a3e-bf64-4c58-affa-6bd383a99b56,d5321a3e-bf64-4c58-affa-6bd383a99b56,7/7/2021 17:09,7/7/2021 17:09,7/7/2021 17:09,4305125,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Users\Klim\Videos\2021-07-07 21-09-14.mkv,,My Computer\C:\Users\Klim\Videos\2021-07-07 21-09-14.mkv,0x6D92,0xB7,desktop-91gu178,00:d8:61:2e:91:83,7/7/2021 11:23,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
