SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\15-00 26.09.21 ekat.lnk,2021-09-26 13:28:15,2021-09-26 13:28:15,2021-10-03 16:43:18,2021-09-26 13:28:02,2021-09-26 13:28:04,2021-09-26 13:28:15,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\15-00 26.09.21 ekat\15-00 26.09.21 ekat,,,,My Computer\D:\Downloads\15-00 26.09.21 ekat\15-00 26.09.21 ekat,0x37E04,0x3,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-24 19:44:55,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\15-00 26.09.21 ekat.zip.lnk,2021-09-26 13:27:43,2021-09-26 13:27:53,2021-10-03 16:43:18,2021-09-26 13:27:24,2021-09-26 13:27:41,2021-09-26 13:27:43,133977770,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\15-00 26.09.21 ekat.zip,,,,My Computer\D:\Downloads\15-00 26.09.21 ekat.zip,0x0,,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-24 19:44:55,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\20211002080422_SrumECmd_NetworkConnections_Output.csv.lnk,2021-10-02 08:04:44,2021-10-02 08:04:44,2021-10-03 16:43:18,2021-10-02 08:04:24,2021-10-02 08:04:24,2021-10-02 08:04:44,45289,,D:\Tools\SrumECmd,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Tools\SrumECmd\20211002080422_SrumECmd_NetworkConnections_Output.csv,,,,My Computer\D:\Tools\SrumECmd\20211002080422_SrumECmd_NetworkConnections_Output.csv,0x33063,0xE,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\20211002080422_SrumECmd_NetworkUsages_Output.csv.lnk,2021-10-02 08:05:34,2021-10-02 08:08:11,2021-10-03 16:43:18,2021-10-02 08:04:24,2021-10-02 08:04:24,2021-10-02 08:05:36,356875,,D:\Tools\SrumECmd,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Tools\SrumECmd\20211002080422_SrumECmd_NetworkUsages_Output.csv,,,,My Computer\D:\Tools\SrumECmd\20211002080422_SrumECmd_NetworkUsages_Output.csv,0x35FAC,0x8,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\20211002102003_Windows10Creators_DESKTOP-91GU178_AppCompatCache.csv.lnk,2021-10-02 06:20:07,2021-10-02 06:20:07,2021-10-03 16:43:18,2021-10-02 06:20:03,2021-10-02 06:20:04,2021-10-02 06:20:07,28984,,D:\Tools\AppCompatCacheParser,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Tools\AppCompatCacheParser\20211002102003_Windows10Creators_DESKTOP-91GU178_AppCompatCache.csv,,,,My Computer\D:\Tools\AppCompatCacheParser\20211002102003_Windows10Creators_DESKTOP-91GU178_AppCompatCache.csv,0x13E7C,0x5,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\20211002103723_Amcache_DeviceContainers.csv.lnk,2021-10-03 16:41:07,2021-10-03 16:41:07,2021-10-03 16:43:18,2021-10-02 06:37:23,2021-10-02 06:37:23,2021-10-03 16:41:06,12129,,D:\source\repos\usb_forensic\Sources&IoCs\Amcache,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Sources&IoCs\Amcache\20211002103723_Amcache_DeviceContainers.csv,,,,My Computer\D:\source\repos\usb_forensic\Sources&IoCs\Amcache\20211002103723_Amcache_DeviceContainers.csv,0x1401E,0x4,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-10-03 16:04:19,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\20211003204033_LECmd_Output.csv.lnk,2021-10-03 16:41:51,2021-10-03 16:41:51,2021-10-03 16:43:18,2021-10-03 16:40:33,2021-10-03 16:40:33,2021-10-03 16:41:51,105315,,D:\source\repos\usb_forensic\Sources&IoCs\LNKs,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Sources&IoCs\LNKs\20211003204033_LECmd_Output.csv,,,,My Computer\D:\source\repos\usb_forensic\Sources&IoCs\LNKs\20211003204033_LECmd_Output.csv,0x67EF4,0x2,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-10-03 16:04:19,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\All.zip.lnk,2021-09-12 14:07:03,2021-09-28 18:51:42,2021-10-03 16:43:18,2021-09-12 10:48:03,2021-09-12 10:52:38,2021-09-28 18:51:42,676857158,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\Old\All.zip,,,,My Computer\D:\Downloads\Old\All.zip,0x6A0B8,0x2,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-12 09:17:38,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Amcache.lnk,2021-10-02 08:14:13,2021-10-03 16:41:07,2021-10-03 16:43:18,2021-10-02 08:14:10,2021-10-02 08:14:17,2021-10-03 16:41:07,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Sources&IoCs\Amcache,,,,My Computer\D:\source\repos\usb_forensic\Sources&IoCs\Amcache,0x35FB2,0x7,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-10-02 08:14:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\AppCompatCache.lnk,2021-10-02 08:14:01,2021-10-02 08:14:01,2021-10-03 16:43:18,2021-10-02 08:13:57,2021-10-02 08:13:57,2021-10-02 08:13:57,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Sources\AppCompatCache,,,,My Computer\D:\source\repos\usb_forensic\Sources\AppCompatCache,0x35FB1,0x7,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
