BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU,0,0,1,Desktop\Home Folder,Root folder: GUID,Home Folder,0,,,,2021-10-03 17:53:02,,,0,2021-05-25 13:07:31,,False,
BagMRU,1,0,0,Desktop\My Computer,Root folder: GUID,My Computer,7,,,,2021-10-03 17:53:02,,,0,,2021-10-03 17:53:02,False,
BagMRU,2,0,9,Desktop\Shared Documents Folder (Users Files),Root folder: GUID,Shared Documents Folder (Users Files),2,,,,2021-10-03 17:53:02,,,0,,,False,
BagMRU,3,0,4,Desktop\User Libraries,Root folder: GUID,User Libraries,0,,,,2021-10-03 17:53:02,,,0,2021-05-25 17:50:46,,False,
BagMRU,4,0,10,Desktop\Control Panel,Root folder: GUID,Control Panel,4,,,,2021-10-03 17:53:02,,,0,,,False,
BagMRU,5,0,2,Desktop\E:\,Users property view: Drive letter,E:\,4,,,,2021-10-03 17:53:02,,,0,,,False,
BagMRU,6,0,31,Desktop\Search Folder,Users property view,Search Folder,2,,,,2021-10-03 17:53:02,,,1,,,False,
BagMRU,7,0,32,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-05-27 17:27:27,,False,
BagMRU,8,0,3,Desktop\Recycle bin,Root folder: GUID,Recycle bin,0,,,,2021-10-03 17:53:02,,,0,2021-06-11 16:41:52,,False,
BagMRU,9,0,19,Desktop\New folder,Directory,New folder,0,2021-06-12 20:15:26,2021-06-12 20:15:30,2021-06-12 20:15:30,2021-10-03 17:53:02,8034,27,1,2021-06-12 20:15:33,,False,NTFS file system
BagMRU,10,0,26,Desktop\Downloads,Directory,Downloads,0,2021-06-12 20:15:34,2021-06-12 20:15:36,2021-06-12 20:15:36,2021-10-03 17:53:02,109741,36,1,2021-06-12 20:15:59,,False,NTFS file system
BagMRU,11,0,30,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-06-14 10:21:46,,False,
BagMRU,12,0,29,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-06-14 10:21:51,,False,
BagMRU,13,0,28,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-06-14 10:22:04,,False,
BagMRU,14,0,27,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-06-14 10:22:16,,False,
BagMRU,15,0,8,Desktop\Search Folder,Users property view,Search Folder,1,,,,2021-10-03 17:53:02,,,1,,,False,
BagMRU,16,0,7,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-06-14 10:52:11,,False,
BagMRU,17,0,24,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-06-28 14:45:26,,False,
BagMRU,18,0,25,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-06-28 14:45:30,,False,
BagMRU,19,0,23,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-08-16 14:36:30,,False,
BagMRU,20,0,22,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-08-16 14:38:58,,False,
BagMRU,21,0,21,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-08-16 14:51:08,,False,
BagMRU,22,0,20,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-08-16 14:51:27,,False,
BagMRU,23,0,17,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-09-12 09:37:45,,False,
BagMRU,24,0,18,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-09-12 09:45:13,,False,
BagMRU,25,0,16,Desktop\USB Logs,Directory,USB Logs,0,2021-09-14 16:53:12,2021-09-14 16:53:12,2021-09-14 16:53:12,2021-10-03 17:53:02,20156,13,1,2021-09-14 16:53:43,,False,NTFS file system
BagMRU,26,0,15,Desktop\Forensic,Directory,Forensic,0,2021-09-12 09:43:40,2021-09-12 13:31:32,2021-09-14 16:32:56,2021-10-03 17:53:02,14947,304,1,2021-09-14 17:07:28,,False,NTFS file system
BagMRU,27,0,14,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-09-15 18:52:04,,False,
BagMRU,28,0,13,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-09-15 18:52:07,,False,
BagMRU,29,0,11,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-09-15 18:52:17,,False,
BagMRU,30,0,12,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-09-15 18:52:19,,False,
BagMRU,31,0,6,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,1,2021-09-28 18:50:22,,False,
BagMRU,32,0,5,Desktop\Search Folder,Users property view,Search Folder,0,,,,2021-10-03 17:53:02,,,2,2021-09-28 18:50:24,,False,
BagMRU\1,0,3,0,Desktop\My Computer\D:,Drive letter,D:,27,,,,2021-10-03 16:58:19,,,0,,2021-10-03 16:58:19,True,
BagMRU\1,1,8,1,Desktop\My Computer\C:,Drive letter,C:,6,,,,2021-10-03 16:58:19,,,0,,,True,
BagMRU\1,2,18,6,Desktop\My Computer\Downloads,Root folder: GUID,Downloads,1,,,,2021-10-03 16:58:19,,,1,,,True,
